id,member_id,loan_amnt,funded_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,delinq_2yrs,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt
LOAN_00000040,MEM_0000040,3612,25918, 60 months,22.61,1073.9422126765203,D,10+ years,MORTGAGE,147653,Not Verified,2015-07-29,Fully Paid,credit_card,28.62,0,725,730,16,1,6022,29.9,36,20645
LOAN_00000041,MEM_0000041,24483,36497, 36 months,9.8,344.8158713818559,C,3 years,MORTGAGE,58485,Source Verified,2015-07-09,Fully Paid,credit_card,12.4,0,707,712,7,2,22157,95.3,29,21299
LOAN_00000042,MEM_0000042,18159,29026, 60 months,24.4,1350.8353615915858,B,10+ years,MORTGAGE,155588,Verified,2017-02-17,Charged Off,other,32.33,3,746,751,23,2,42431,8.9,14,12110
LOAN_00000043,MEM_0000043,15541,12929, 36 months,19.95,509.0785922002499,C,1 year,RENT,96918,Not Verified,2015-07-18,Charged Off,debt_consolidation,5.0,1,621,626,12,0,36487,77.1,12,41702
LOAN_00000044,MEM_0000044,36920,37665, 36 months,9.75,523.8541667588097,D,5 years,RENT,121696,Not Verified,2017-01-05,Fully Paid,credit_card,9.97,2,796,801,3,0,9394,87.5,43,19057
LOAN_00000045,MEM_0000045,27531,35937, 36 months,17.939999999999998,1380.5972790765566,E,2 years,MORTGAGE,172382,Not Verified,2016-12-05,Fully Paid,credit_card,17.56,2,621,626,7,1,33408,59.9,22,34539
LOAN_00000046,MEM_0000046,2585,14563, 36 months,12.38,69.18505263637161,C,2 years,RENT,40138,Verified,2018-05-21,Fully Paid,credit_card,35.17,3,612,617,26,2,991,1.7,17,35155
LOAN_00000047,MEM_0000047,4943,29546, 36 months,24.68,331.25091965117616,B,3 years,OWN,65413,Verified,2016-06-25,Default,car,11.36,0,810,815,9,0,37993,75.8,11,48370
LOAN_00000048,MEM_0000048,24939,13888, 36 months,21.95,661.8017865170099,A,3 years,RENT,66267,Verified,2015-03-30,Charged Off,home_improvement,33.75,0,683,688,14,0,12854,39.9,14,40604
LOAN_00000049,MEM_0000049,20457,38338, 36 months,5.52,1066.04627259978,B,3 years,RENT,132801,Not Verified,2017-07-29,Current,medical,4.08,3,730,735,23,1,10029,76.7,28,37413
LOAN_00000050,MEM_0000050,2021,35283, 60 months,23.96,988.9709407648663,D,5 years,OWN,68851,Not Verified,2018-01-03,Current,debt_consolidation,6.94,2,784,789,28,0,2909,12.8,24,34688
LOAN_00000051,MEM_0000051,12653,17958, 36 months,19.42,1020.6472189923661,B,2 years,MORTGAGE,171036,Verified,2015-09-13,Current,home_improvement,6.32,2,809,814,14,2,8653,61.9,46,43738
LOAN_00000052,MEM_0000052,14417,13634, 60 months,6.65,1326.0319411954629,C,2 years,MORTGAGE,41237,Source Verified,2017-02-14,Current,debt_consolidation,24.52,3,805,810,7,0,32867,37.3,21,20037
LOAN_00000053,MEM_0000053,10692,20251, 60 months,18.41,225.4940978252221,D,1 year,RENT,139883,Verified,2015-06-11,Charged Off,other,15.55,4,828,833,29,0,33836,1.3,45,10730
LOAN_00000054,MEM_0000054,7873,20928, 60 months,20.94,807.1344595172171,B,1 year,MORTGAGE,103964,Source Verified,2018-02-04,Fully Paid,medical,34.54,4,614,619,15,1,21926,53.1,34,47339
LOAN_00000055,MEM_0000055,6675,38245, 36 months,12.38,1101.9426491986085,D,< 1 year,MORTGAGE,191353,Not Verified,2016-08-23,Fully Paid,credit_card,19.43,0,620,625,25,0,19784,59.3,19,30618
LOAN_00000056,MEM_0000056,1161,17455, 36 months,23.17,972.3717422400385,C,5 years,RENT,92303,Not Verified,2018-07-11,Charged Off,home_improvement,33.52,3,636,641,11,0,33951,92.6,35,14174
LOAN_00000057,MEM_0000057,38065,28144, 60 months,9.74,700.0554739119378,C,3 years,MORTGAGE,135194,Source Verified,2018-06-20,Fully Paid,debt_consolidation,9.61,1,616,621,29,0,30847,92.3,37,41826
LOAN_00000058,MEM_0000058,27557,29013, 36 months,14.79,74.81614951463776,E,1 year,RENT,148188,Verified,2017-01-10,Fully Paid,credit_card,37.25,0,702,707,23,1,19061,69.9,22,16902
LOAN_00000059,MEM_0000059,34763,22876, 60 months,8.2,137.65578518943272,D,< 1 year,OWN,42617,Not Verified,2018-03-28,Current,major_purchase,25.4,2,624,629,15,1,34197,37.8,43,22052
LOAN_00000060,MEM_0000060,33606,27962, 60 months,24.37,222.4649239380631,C,< 1 year,MORTGAGE,38650,Source Verified,2016-01-29,Charged Off,home_improvement,20.23,0,674,679,18,1,34738,2.9,19,25106
LOAN_00000061,MEM_0000061,12534,29084, 60 months,20.03,547.6802416112771,E,2 years,MORTGAGE,121784,Not Verified,2018-12-13,Fully Paid,car,24.35,0,770,775,15,1,12947,71.6,15,13868
LOAN_00000062,MEM_0000062,30127,22143, 36 months,11.18,220.597506367363,D,5 years,OWN,143676,Verified,2015-05-23,Fully Paid,home_improvement,36.68,0,649,654,21,1,9674,39.8,30,26222
LOAN_00000063,MEM_0000063,26851,27091, 60 months,14.83,667.8193539407821,D,5 years,RENT,169448,Verified,2015-04-04,Fully Paid,other,13.7,1,614,619,4,2,17275,30.9,20,41354
LOAN_00000064,MEM_0000064,2016,15179, 36 months,8.21,309.0308863490901,D,10+ years,RENT,108825,Source Verified,2018-09-16,Fully Paid,major_purchase,9.83,3,666,671,11,0,36084,34.1,6,2959
LOAN_00000065,MEM_0000065,25253,33807, 60 months,23.33,1179.7909864129988,C,3 years,MORTGAGE,161384,Source Verified,2016-04-11,Current,other,9.82,3,629,634,26,1,27934,7.9,30,35335
LOAN_00000066,MEM_0000066,25276,11222, 36 months,6.18,1313.6570442327127,B,5 years,RENT,61908,Verified,2016-08-15,Charged Off,credit_card,38.91,0,804,809,28,0,19436,19.0,25,14838
LOAN_00000067,MEM_0000067,24247,24949, 60 months,21.81,614.988886553855,D,10+ years,MORTGAGE,32990,Source Verified,2015-06-13,Fully Paid,medical,13.5,4,784,789,6,0,28707,71.1,18,22999
LOAN_00000068,MEM_0000068,25300,17116, 36 months,26.84,791.4310597076761,A,3 years,OWN,132922,Verified,2016-04-21,Charged Off,major_purchase,35.36,4,606,611,22,0,17520,34.9,12,11606
LOAN_00000069,MEM_0000069,9529,38564, 60 months,18.53,1432.5695502633653,E,5 years,RENT,183093,Not Verified,2015-07-26,Fully Paid,major_purchase,5.5,4,677,682,28,1,33129,5.3,45,27982
LOAN_00000070,MEM_0000070,18262,38374, 36 months,9.26,826.4862452554995,C,2 years,MORTGAGE,179276,Source Verified,2017-02-17,Fully Paid,debt_consolidation,17.22,0,700,705,28,1,5644,29.6,32,46211
LOAN_00000071,MEM_0000071,10268,18667, 36 months,12.2,1492.856162972966,D,10+ years,RENT,160543,Not Verified,2016-07-23,Default,home_improvement,24.77,0,712,717,6,1,8085,88.6,33,2023
LOAN_00000072,MEM_0000072,22271,9775, 36 months,14.54,256.0899408534792,C,< 1 year,MORTGAGE,167028,Verified,2017-07-17,Fully Paid,other,38.54,3,650,655,25,0,11112,89.6,39,32451
LOAN_00000073,MEM_0000073,13185,30655, 60 months,20.09,1300.2283098652126,C,5 years,MORTGAGE,98949,Source Verified,2018-07-25,Fully Paid,medical,27.09,1,617,622,26,2,23574,75.5,23,39770
LOAN_00000074,MEM_0000074,22243,15193, 60 months,18.37,770.9443538757997,D,5 years,MORTGAGE,56611,Not Verified,2017-01-17,Fully Paid,medical,0.08,2,811,816,7,0,23456,8.7,24,5166
LOAN_00000075,MEM_0000075,9571,15676, 60 months,16.08,82.93546131201882,D,2 years,MORTGAGE,35278,Source Verified,2015-11-30,Fully Paid,medical,30.41,3,679,684,3,1,44067,92.2,24,6764
LOAN_00000076,MEM_0000076,39044,31776, 36 months,12.03,1459.7232650870553,B,1 year,MORTGAGE,150562,Not Verified,2017-01-28,Fully Paid,home_improvement,25.99,0,800,805,6,0,21414,88.9,14,28289
LOAN_00000077,MEM_0000077,3568,18199, 36 months,22.82,1449.319454627869,A,3 years,OWN,41409,Verified,2016-12-28,Late (31-120 days),medical,7.41,0,653,658,9,1,3043,14.0,25,32650
LOAN_00000078,MEM_0000078,3027,16066, 60 months,6.63,605.7427182651863,E,1 year,MORTGAGE,149493,Not Verified,2016-03-05,Charged Off,debt_consolidation,24.82,4,775,780,16,1,29116,41.6,11,2527
LOAN_00000079,MEM_0000079,3695,19895, 60 months,14.33,1433.5060030745622,E,< 1 year,MORTGAGE,115192,Verified,2018-10-04,Fully Paid,credit_card,37.03,0,694,699,11,1,8610,51.5,35,38277
LOAN_00000080,MEM_0000080,6258,1246, 36 months,20.51,254.46398124589132,B,1 year,OWN,38221,Source Verified,2016-06-30,Default,other,0.18,0,752,757,23,1,18289,0.2,49,30039
LOAN_00000081,MEM_0000081,23002,22209, 60 months,6.22,1036.1597046249892,B,< 1 year,OWN,82958,Source Verified,2018-12-08,Charged Off,debt_consolidation,38.98,4,676,681,11,1,3724,29.2,30,46914
LOAN_00000082,MEM_0000082,34159,17800, 36 months,19.11,328.2970309873601,B,3 years,OWN,90578,Source Verified,2018-10-31,Current,credit_card,11.85,2,809,814,20,0,48236,27.7,41,5113
LOAN_00000083,MEM_0000083,14986,24086, 36 months,26.39,407.6384926855001,F,2 years,RENT,65561,Source Verified,2018-08-20,Fully Paid,car,24.3,0,793,798,5,0,12127,53.5,27,49773
LOAN_00000084,MEM_0000084,13666,21101, 36 months,18.22,1180.0392839437777,B,< 1 year,RENT,168127,Verified,2015-05-27,Fully Paid,home_improvement,11.1,4,745,750,23,2,7210,0.7,6,30026
LOAN_00000085,MEM_0000085,39660,17491, 60 months,8.26,597.1692226196777,B,3 years,RENT,92688,Source Verified,2018-06-01,Fully Paid,major_purchase,29.24,4,630,635,3,1,9715,44.9,18,3146
LOAN_00000086,MEM_0000086,4561,28207, 36 months,11.6,60.33487910150071,B,10+ years,MORTGAGE,129806,Verified,2018-07-24,Current,major_purchase,20.63,1,619,624,3,0,33238,33.0,40,8887
LOAN_00000087,MEM_0000087,27854,21897, 60 months,11.84,650.6457150836121,D,2 years,MORTGAGE,87085,Not Verified,2015-12-17,Fully Paid,medical,10.52,0,692,697,29,1,20711,55.7,19,48126
LOAN_00000088,MEM_0000088,39952,30492, 36 months,9.67,380.7005149177912,E,1 year,MORTGAGE,38992,Not Verified,2017-12-29,Charged Off,medical,20.14,2,785,790,5,1,4546,37.4,38,29157
LOAN_00000089,MEM_0000089,23662,2421, 60 months,27.25,1040.8283746595223,C,1 year,MORTGAGE,184105,Source Verified,2016-05-16,Charged Off,home_improvement,14.07,2,630,635,29,1,45194,17.4,15,5553
LOAN_00000090,MEM_0000090,9392,33015, 60 months,18.03,331.9506102490754,A,< 1 year,RENT,178209,Verified,2015-12-01,Fully Paid,major_purchase,9.99,3,740,745,20,2,37532,76.5,5,47314
LOAN_00000091,MEM_0000091,31535,13970, 36 months,10.94,1271.2676162328898,C,5 years,RENT,133667,Not Verified,2017-08-04,Current,credit_card,23.71,0,810,815,18,1,29492,10.8,33,4603
LOAN_00000092,MEM_0000092,14067,8283, 36 months,23.59,437.2848675568382,B,10+ years,MORTGAGE,148563,Verified,2017-02-16,Fully Paid,home_improvement,25.53,4,673,678,22,0,47449,56.6,47,45989
LOAN_00000093,MEM_0000093,24599,29488, 36 months,19.81,619.8909745103698,A,5 years,MORTGAGE,152487,Not Verified,2016-07-06,Fully Paid,major_purchase,5.62,4,781,786,14,0,17612,15.9,23,2709
LOAN_00000094,MEM_0000094,36222,16945, 36 months,10.69,482.1534481557921,E,10+ years,MORTGAGE,161843,Source Verified,2018-08-03,Fully Paid,credit_card,37.17,1,835,840,18,2,47909,80.1,36,47317
LOAN_00000095,MEM_0000095,12837,1255, 60 months,12.58,983.6888543235804,E,2 years,MORTGAGE,100898,Not Verified,2018-11-10,Fully Paid,medical,0.27,4,687,692,10,2,27983,47.2,6,9397
LOAN_00000096,MEM_0000096,15039,12019, 60 months,13.99,196.6871347782752,F,1 year,MORTGAGE,157492,Source Verified,2018-02-14,Charged Off,other,11.08,4,747,752,21,2,11764,69.4,46,39948
LOAN_00000097,MEM_0000097,31818,16487, 60 months,24.42,743.2440904124539,C,3 years,MORTGAGE,39407,Source Verified,2016-03-25,Fully Paid,other,13.73,3,749,754,29,0,12674,26.0,39,24104
LOAN_00000098,MEM_0000098,20115,20346, 60 months,15.35,534.9594820618343,B,10+ years,RENT,73860,Not Verified,2018-11-03,Fully Paid,medical,2.66,4,690,695,23,2,39467,8.3,43,38967
LOAN_00000099,MEM_0000099,11965,36050, 60 months,22.92,1332.0000467680563,D,2 years,RENT,184316,Source Verified,2016-10-26,Default,major_purchase,3.6,1,839,844,13,0,21950,35.1,20,12329
LOAN_00000100,MEM_0000100,25538,9744, 36 months,11.93,156.44753568286893,B,< 1 year,MORTGAGE,191411,Verified,2015-04-25,Charged Off,credit_card,33.9,1,718,723,9,0,32901,42.7,49,6260
LOAN_00000101,MEM_0000101,6056,25756, 36 months,22.22,1253.0578441526393,B,10+ years,RENT,127810,Verified,2016-04-14,Current,car,14.47,3,714,719,12,1,22990,75.7,43,33001
LOAN_00000102,MEM_0000102,33482,18861, 60 months,6.08,293.13669096836827,B,< 1 year,MORTGAGE,140628,Verified,2015-03-07,Fully Paid,home_improvement,14.61,2,723,728,10,2,22647,27.1,41,12021
LOAN_00000103,MEM_0000103,9110,26146, 36 months,29.64,178.43760689843495,F,2 years,OWN,125262,Not Verified,2016-10-08,Fully Paid,major_purchase,27.54,3,704,709,18,1,34716,91.6,43,44688
LOAN_00000104,MEM_0000104,14773,22976, 36 months,23.24,343.36814427836157,D,3 years,RENT,146938,Not Verified,2017-04-01,Fully Paid,major_purchase,28.97,0,659,664,4,0,5342,92.2,28,41986
LOAN_00000105,MEM_0000105,28266,1591, 36 months,12.26,198.84682391712508,A,1 year,MORTGAGE,158555,Not Verified,2016-07-02,Fully Paid,car,28.3,3,724,729,2,0,29772,33.9,13,38993
LOAN_00000106,MEM_0000106,18412,7277, 36 months,23.49,805.4267248930821,A,1 year,MORTGAGE,82495,Verified,2015-05-16,Current,car,18.76,2,629,634,15,2,29030,23.1,45,34751
LOAN_00000107,MEM_0000107,34270,3260, 36 months,20.05,1482.911681727883,E,3 years,RENT,54065,Verified,2016-03-08,Fully Paid,debt_consolidation,28.27,3,699,704,21,0,1622,76.5,49,35857
LOAN_00000108,MEM_0000108,7910,1347, 36 months,23.03,99.77466029017532,E,1 year,MORTGAGE,148330,Not Verified,2018-03-07,Late (31-120 days),car,36.96,0,707,712,13,1,10268,47.6,14,18772
LOAN_00000109,MEM_0000109,26446,25741, 60 months,11.15,718.6361065132189,D,10+ years,OWN,156197,Source Verified,2016-10-06,Current,debt_consolidation,5.39,2,815,820,8,0,43229,49.5,18,20292
LOAN_00000110,MEM_0000110,1206,38211, 36 months,14.31,609.8019772063996,B,5 years,MORTGAGE,84751,Source Verified,2016-03-11,Current,car,22.99,0,826,831,23,1,24162,79.0,40,3903
LOAN_00000111,MEM_0000111,22518,7869, 36 months,25.3,542.4293006572805,C,5 years,MORTGAGE,77479,Not Verified,2018-09-04,Charged Off,debt_consolidation,35.15,2,602,607,21,1,22260,43.0,32,11063
LOAN_00000112,MEM_0000112,23361,29082, 60 months,20.57,531.2022351283733,D,3 years,RENT,69417,Source Verified,2017-10-19,Charged Off,other,38.63,2,687,692,5,0,15308,50.0,17,21875
LOAN_00000113,MEM_0000113,24419,23080, 60 months,17.869999999999997,1347.7684971083702,F,5 years,MORTGAGE,84447,Source Verified,2017-03-21,Current,other,3.52,2,711,716,15,0,28037,77.5,6,39387
LOAN_00000114,MEM_0000114,23403,29979, 60 months,21.91,77.51541780218585,B,10+ years,MORTGAGE,138015,Not Verified,2018-08-09,Fully Paid,major_purchase,37.99,0,688,693,8,2,39733,23.0,28,19462
LOAN_00000115,MEM_0000115,19141,20422, 36 months,8.940000000000001,1173.6287617012006,C,2 years,RENT,65797,Not Verified,2017-07-28,Fully Paid,other,29.06,0,602,607,13,1,26802,92.3,6,35543
LOAN_00000116,MEM_0000116,15820,36613, 60 months,23.64,416.75310926861545,B,1 year,MORTGAGE,133075,Not Verified,2015-10-20,Fully Paid,credit_card,28.99,0,619,624,11,1,27378,61.8,12,41553
LOAN_00000117,MEM_0000117,7374,23993, 36 months,12.14,605.7784906854836,C,10+ years,MORTGAGE,82330,Not Verified,2016-06-26,Fully Paid,home_improvement,5.9,2,624,629,29,2,24217,65.8,7,23301
LOAN_00000118,MEM_0000118,2678,13386, 60 months,13.72,659.2173736304377,B,2 years,MORTGAGE,122184,Source Verified,2015-10-13,Current,home_improvement,23.03,0,636,641,16,2,26635,95.9,7,338
LOAN_00000119,MEM_0000119,34827,35033, 36 months,17.86,491.86104340692793,E,3 years,MORTGAGE,59095,Not Verified,2016-05-20,Default,medical,14.34,1,616,621,25,1,19795,7.0,46,35882
LOAN_00000120,MEM_0000120,17198,13938, 36 months,13.99,185.66034966132688,B,10+ years,RENT,74412,Not Verified,2018-02-23,Current,major_purchase,23.42,1,775,780,19,1,38881,23.3,47,10750
LOAN_00000121,MEM_0000121,10914,12159, 60 months,18.41,215.77973080268043,C,10+ years,RENT,70683,Not Verified,2018-01-08,Fully Paid,debt_consolidation,29.5,3,626,631,28,0,48941,63.5,42,23227
LOAN_00000122,MEM_0000122,28890,3274, 36 months,15.9,482.29012991983427,C,5 years,MORTGAGE,58419,Verified,2016-06-22,Fully Paid,home_improvement,7.34,3,752,757,4,2,24079,12.8,38,878
LOAN_00000123,MEM_0000123,23299,19854, 36 months,14.63,1241.6231266865134,E,2 years,MORTGAGE,120057,Verified,2018-04-12,Fully Paid,other,6.12,4,631,636,11,1,32362,39.9,18,29373
LOAN_00000124,MEM_0000124,3693,32815, 36 months,8.5,245.21009654174716,D,2 years,MORTGAGE,186826,Source Verified,2017-05-27,Fully Paid,credit_card,14.27,2,667,672,7,0,41107,60.7,26,30025
LOAN_00000125,MEM_0000125,30467,11482, 36 months,20.37,1126.8277580615995,A,< 1 year,OWN,46872,Not Verified,2018-04-10,Fully Paid,credit_card,25.69,1,664,669,18,0,5347,14.9,13,21129
LOAN_00000126,MEM_0000126,30723,19961, 60 months,13.0,468.86110767246714,A,2 years,RENT,126677,Not Verified,2017-03-28,Default,major_purchase,26.95,4,791,796,13,2,28775,36.9,21,33890
LOAN_00000127,MEM_0000127,4627,21044, 60 months,18.119999999999997,1331.0241559125345,C,5 years,RENT,66304,Not Verified,2017-01-11,Current,car,24.35,2,624,629,23,1,30833,53.5,23,42089
LOAN_00000128,MEM_0000128,26939,34836, 60 months,17.89,671.0762893309293,C,1 year,RENT,62876,Verified,2016-03-25,Fully Paid,credit_card,33.98,0,745,750,18,1,33131,74.3,43,13800
LOAN_00000129,MEM_0000129,22834,22975, 36 months,26.19,298.99880428119457,B,1 year,RENT,197333,Not Verified,2015-10-11,Fully Paid,medical,29.39,2,640,645,26,2,42319,4.6,39,8316
